id	category_code	category_name	brand_name	bar_code	name	unit	packing_unit	packing_specification	suggested_retail_price	supply_price	cost_price	supplier_name	valid_period	portrait	unit_specification
3465	0808	面包糕点	钜香	6949852504035	钜香	盒	箱	24	18	0	0		360		245g/盒
3466	0808	面包糕点	钜香	6949852504042	钜香	盒	箱	24	18	0	0		360		245g/盒
3467	0815	饮料冲调	3点1刻	4712134662387	3点1刻	杯	箱	30	5	0	0		0		20g/杯
3468	0815	饮料冲调	3点1刻	4712134662349	3点1刻	杯	箱	30	5	0	0		0		20g/杯
3469	0815	饮料冲调	3点1刻	4712134660826	3点1刻	盒	箱	24	16	0	0		0		100g/盒
3470	0815	饮料冲调	3点1刻	4712134660833	3点1刻	盒	箱	24	16	0	0		0		100g/盒
3471	0815	饮料冲调	3点1刻	4712134660857	3点1刻	盒	箱	24	16	0	0		0		100g/盒
3472	0815	饮料冲调	3点1刻	4712134660802	3点1刻	盒	箱	24	16	0	0		0		130g/盒
3473	0815	饮料冲调	3点1刻	4712134660734	3点1刻	盒	箱	24	16	0	0		0		130g/盒
3474	0815	饮料冲调	3点1刻	4712134660727	3点1刻	盒	箱	24	16	0	0		0		130g/盒
3475	0815	饮料冲调	3点1刻	4712134663049	3点1刻	盒	箱	24	16	0	0		0		125g/盒
3476	0815	饮料冲调	3点1刻	4712134663063	3点1刻	盒	箱	24	16	0	0		0		125g/盒
3477	0815	饮料冲调	3点1刻	4712134663056	3点1刻	盒	箱	24	16	0	0		0		75g/盒
3478	0815	饮料冲调	3点1刻	4712134662646	3点1刻	盒	箱	24	16	0	0		0		70g/盒
3479	0815	饮料冲调	3点1刻	4712134662677	3点1刻	盒	箱	24	16	0	0		0		95g/盒
3480	0815	饮料冲调	3点1刻	4712134665432	3点1刻	盒	箱	24	16	0	0		0		125g/盒
3481	0815	饮料冲调	3点1刻	4712134665326	3点1刻	盒	箱	24	16	0	0		0		150g/盒
3482	0815	饮料冲调	3点1刻	4712134665876	3点1刻	盒	箱	24	16	0	0		0		100g/盒
3483	0815	饮料冲调	3点1刻	4712134665883	3点1刻	盒	箱	24	16	0	0		0		100g/盒
3484	0810	糖果巧克力	爱加	4712233881054	爱加	包	箱	240	4	0	0		360		35g/包
3485	0810	糖果巧克力	爱加	4712233881061	爱加	包	箱	240	4	0	0		360		35g/包
3486	0810	糖果巧克力	爱加	4712233881078	爱加	包	箱	240	4	0	0		360		35g/包
3487	0810	糖果巧克力	爱加	4712233882518	爱加	盒	箱	24	10	0	0		360		50g/盒
3488	0810	糖果巧克力	爱加	4712233882549	爱加	盒	箱	24	10	0	0		360		50g/盒
3489	0810	糖果巧克力	爱加	4712233882525	爱加	盒	箱	24	10	0	0		360		50g/盒
3490	0810	糖果巧克力	爱加	4712233882556	爱加	盒	箱	24	10	0	0		360		50g/盒
3491	0808	面包糕点	爱加	4712233884031	爱加	盒	箱	40	13	0	0		360		84g/盒
3492	0808	面包糕点	爱加	4712233884048	爱加	盒	箱	40	13	0	0		360		84g/盒
3493	0808	面包糕点	爱加	4712233884024	爱加	盒	箱	40	13	0	0		360		84g/盒
3494	0808	面包糕点	爱加	4712233881276	爱加	盒	箱	12	13	0	0		300		64g/盒
3495	0808	面包糕点	爱加	4712233881269	爱加	盒	箱	12	13	0	0		300		64g/盒
3496	0815	饮料冲调	广吉	4712277711645	广吉	盒	箱	24	25	0	0		540		50g/盒
3497	0815	饮料冲调	广吉	4712277711669	广吉	盒	箱	24	25	0	0		540		50g/盒
3498	0815	饮料冲调	广吉	4712277711652	广吉	盒	箱	24	25	0	0		540		50g/盒
3499	0815	饮料冲调	广吉	4712277710143	广吉	袋	箱	12	33	0	0		0		330g/袋
3500	0815	饮料冲调	广吉	4712277710150	广吉	袋	箱	12	33	0	0		0		330g/袋
3501	0815	饮料冲调	广吉	4712277710136	广吉	袋	箱	12	33	0	0		0		195g/袋
3502	0808	面包糕点	金安记	4711883073659	金安记	盒	箱	24	16	0	0		300		168g/盒
3503	0801	坚果炒货	盛香珍	4710174041551	盛香珍	袋	箱	10	17	0	0		300		80g/袋
3504	0801	坚果炒货	盛香珍	4710174108872	盛香珍	袋	箱	10	17	0	0		300		80g/袋
3505	0808	面包糕点	盛香珍	4710174110899	盛香珍	袋	箱	10	17	0	0		0		180g/袋
3506	0809	果冻	盛香珍	4710174107431	盛香珍	条	箱	16	13	0	0		0		330g/条
3507	0809	果冻	盛香珍	4710174108100	盛香珍	条	箱	16	13	0	0		0		330g/条
3508	0809	果冻	盛香珍	4710174107394	盛香珍	条	箱	16	13	0	0		0		330g/条
3509	0809	果冻	盛香珍	4710174104751	盛香珍	桶	箱	12	49	0	0		0		630g/桶
3510	0815	饮料冲调	十全	4710783055055	十全	包	箱	24	5	0	0		0		140ml/包
3511	0815	饮料冲调	十全	4710783055062	十全	包	箱	24	5	0	0		0		140ml/包
3512	0815	饮料冲调	十全	4710783055109	十全	包	箱	24	5	0	0		0		140ml/包
3513	0815	饮料冲调	十全	4710783055093	十全	包	箱	24	5	0	0		0		140ml/包
3514	0815	饮料冲调	十全	4710783055116	十全	包	箱	24	5	0	0		0		140ml/包
3515	0803	蜜饯果干	心之味	4714247690264	心之味	罐	箱	20	27	0	0		0		300g/罐
3516	0803	蜜饯果干	心之味	4714247690257	心之味	罐	箱	20	27	0	0		0		300g/罐
3517	0807	饼干	竹叶堂	4714221130038	竹叶堂	盒	箱	24	13	0	0		300		210g/盒
3518	0807	饼干	竹叶堂	4714221130069	竹叶堂	盒	箱	24	13	0	0		300		210g/盒
